Age,Biomass_Est,Biomass_CI,Biomass_CI_Lower,Biomass_CI_Upper
0,0.501,0,0.501,0.501
1,3.486,0.373,3.113,3.858
2,9.995,1.286,8.709,11.281
3,20.286,2.659,17.627,22.944
4,34.185,4.311,29.874,38.495
5,51.266,6.039,45.227,57.306
6,70.966,7.662,63.304,78.628
7,92.657,9.042,83.615,101.7
8,115.706,10.109,105.597,125.815
9,139.508,10.864,128.643,150.372
10,163.513,11.386,152.127,174.899
11,187.243,11.817,175.426,199.06
12,210.299,12.332,197.966,222.631
13,232.363,13.079,219.284,245.442
14,253.201,14.114,239.087,267.315
15,272.657,15.383,257.274,288.04
16,290.648,16.744,273.904,307.392
17,307.158,18.02,289.139,325.178
18,322.231,19.044,303.187,341.275
19,335.961,19.707,316.254,355.667
20,348.487,20.003,328.484,368.49
21,359.987,20.124,339.864,380.111
22,370.671,20.579,350.091,391.25
23,380.774,22.274,358.5,403.048
24,390.555,26.274,364.281,416.829
25,400.295,33.318,366.977,433.613
26,410.292,43.679,366.612,453.971
27,420.863,57.453,363.41,478.317
28,432.348,74.787,357.561,507.135
29,445.11,95.948,349.162,541.058
30,459.539,121.336,338.203,580.874
31,476.061,151.481,324.58,627.543
32,495.148,187.06,308.088,682.208
33,517.321,228.91,288.411,746.231
34,543.171,278.061,265.11,821.232
35,573.37,335.764,237.606,909.133
